COMPANY,STREET,CITY,STATE,ZIPPOSTAL_CODE,PHONE,TOLLFREE,FAX,EMAIL,WEBSITE,ULTIMATE_PARENT_NAME1,ULTIMATE_PARENT_CITY1,ULTIMATE_PARENT_STATE1,DIRECT_REPORTAGE_NAME1,FAMILY_ROLE1,NAME1,EMAIL1,TITLE2,NAME2,EMAIL2,TITLE3,NAME3,EMAIL3,TITLE4,NAME4,EMAIL4,TITLE5,NAME5,EMAIL5,TITLE6,NAME6,EMAIL6,TITLE7,NAME7,EMAIL7,TITLE8,NAME8,EMAIL8,TITLE9,NAME9,EMAIL9,TITLE10,NAME10,EMAIL10,BUSINESS_DESCRIPTION,YEAR_FOUNDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TITLE131,NAME131,EMAIL131,TITLE132,NAME132,EMAIL132,TITLE133,NAME133,EMAIL133,TITLE134,NAME134,EMAIL134,TITLE135,NAME135,EMAIL135,TITLE136,NAME136,EMAIL136,TITLE137,NAME137,EMAIL137,TITLE138,NAME138,EMAIL138,TITLE139,NAME139,EMAIL139,TITLE140,NAME140,EMAIL140,TITLE141,NAME141,EMAIL141,TITLE142,NAME142,EMAIL142,TITLE143,NAME143,EMAIL143,TITLE144,NAME144,EMAIL144,TITLE145,NAME145,EMAIL145,TITLE146,NAME146,EMAIL146,TITLE147,NAME147,EMAIL147,TITLE148,NAME148,EMAIL148,TITLE149,NAME149,EMAIL149,DIRECT_REPORTAGE_NAME3,FAMILY_ROLE3
"Much Shelist, P.C.",191 N Wacker Dr Ste 1800,Chicago,IL,60606-1615,(312) 521-2000,,(312) 521-2100,info@muchshelist.com,www.muchshelist.com,,,,,,Katherine Bonk Lewis,,Principal,David Alan Alman,dalman@muchshelist.com,Principal,Joseph D. Ament,jament@muchshelist.com,Principal,"William N. Anspach, Jr.",wanspach@muchshelist.com,Principal,Marvin N. Benn,mbenn@muchshelist.com,Principal,Steven P. Blonder,sblonder@muchshelist.com,Principal-Income-Real Estate Grp,Patrick  Brennan,,Principal-Construction Law Grp,David  Nightingale,,Principal,Christopher L. Nybo,,Principal,David  Pilotto,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mugar Enterprises Inc.,222 Berkeley St 1450,Boston,MA,2116,(617) 267-3000,,,,www.mugar.com,,,,,,David G. Mugar,,Pres,David T. Ting,dting@mugar.com,VP & Controller,Susan D. Kalvaitis,skalvaitis@mugar.com,VP-Bus & Admin,Tracy Lussier,tlussier@mugar.com,VP-Real Estate,Robert H. Reibstein,rreibstein@mugar.com,,,,,,,,,,,,,,,,"Mugar Enterprises, Inc. is located in Boston, MA. It is a provider of commercial and philanthropic endeavors. The company offers developing commercial real estate, equity and bond portfolios, and retail venture services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutual of Omaha Bank,1317 Q St Ste 150,Lincoln,NE,68508,(402) 474-4444,(866) 351-5646,(402) 434-5827,,www.mutualofomahabank.com,CIT Group Inc.,New York,NY,CIT Group Inc.,Subsidiary,Jeff  Schmid,,Pres & COO,Dwayne  Sieck,,CFO & Treas,Vibhu  Sharma,,Chief Admin Officer,Margie  Heller,,Mng Dir-Comml Real Estate Banking-Dallas & Fort Worth,Ted  Norman,,Mgr-Investment,Carla  Carroll,,Mgr-Comml Relationship,Charise  Hayward,,,,,,,,,,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N P Dodge Company,8701 W Dodge Rd Ste 300,Omaha,NE,68114,(402) 397-4900,,,,www.npdodge.com,,,,,,Mike Riedmann,,COO,Herb Freeman,,VP-Mktg & Bus Dev,Jodee Drake-Soto,,VP-ECommerce & Agent Dev,Mary Sindelar,,Dir-Relocation & Real Estate,Karen Jordan,kjordan@npdodge.com,Dir-IT,Kris Young,,,,,,,,,,,,,,"NP Dodge, Co. was founded in 1855, and is based in Omaha, NE. It is a real estate company. The company specializes in buying, selling, new construction, and relocation services.",1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3 Development Ltd.,620 E Southlake Blvd,Southlake,TX,76092,(817) 348-8748,,(817) 348-8468,,www.n3realestate.com,,,,,,Brenna Wadleigh,bwadleigh@n3realestate.com,VP & Controller,Scott Otness,,VP-Design & Dev,Harry Chapman,hchapman@n3realestate.com,VP-Dev & Construction,Jan Davidson,jdavidson@n3realestate.com,VP-Real Estate,Jeannie De Fazio,jdefazio@n3realestate.com,VP-Underwriting & Legal,Debbie Hanley,dhanley@n3realestate.com,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAI TALCOR,1018 Thomasville Rd Ste 200A,Tallahassee,FL,32303,(850) 224-2300,,(850) 425-1114,info@talcor.com,www.naitalcor.com,,,,,,"E. Edward Murray, Jr.",,COO,Rick  Smith,,Principal & Bus Mgr,Frank  Langston,,Comptroller & Mgr-HR,Rebecca  Adams,,Dir-Acctg,Kristy  Bennett,,Dir-Property Mgmt,Butch Gaddis,,Dir-Leasing,Jimmy  Nystrom,,Dir-Mktg,Whitney  VanLandingham,,Mgr-Property,Don  Gowdy,,Mgr-Property,Beverly  Hayes,,"NAI TALCOR was founded in 1990 and is headquartered in Tallahassee, FL. It is a real estate brokerage firm. The company specializes in commercial properties in North Florida and surrounding areas. It serves the retail, office, agricultural, multi-family, industrial and investment property sectors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa Valley Publishing Co.,1615 Soscol Ave,Napa,CA,94559-2818,(707) 226-3711,,(707) 254-3250,napanews@napanews.com,www.napavalleyregister.com,"Lee Enterprises, Incorporated",Davenport,IA,"Lee Enterprises, Incorporated",Subsidiary,Davis Taylor,DTaylor@napanews.com,Editor-City,Kevin Courtney,KCourtney@napanews.com,Editor-Copy Desk & Wire,Kelly Doren,KDoren@napanews.com,Editor-Online & Calendar,Samie Hartley,SHartley@napanews.com,Editor-Bus,Jennifer Huffman,JHuffman@napanews.com,Editor-Features,Sasha Paulsen,SPaulsen@napanews.com,Editor,Sean  Scully,sscully@napanews.com,Editor-Copy,Tim Yagle,TYagle@napanews.com,Dir-Adv,Norma Kostecka,NKostecka@napanews.com,Mgr-Campaign,Jacob Alexander,JAlexander@napanews.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Amusements, Inc.",846 University Ave,Norwood,MA,2062,(781) 461-1600,,(781) 407-0052,customer_service@national-amusements.com,www.nationalamusements.com,"National Amusements, Inc.",Norwood,MA,,,Sumner M. Redstone,SRedstone@national-amusements.com,CIO & Sr VP-IT,Joseph  Mollo,JMollo@national-amusements.com,Gen Counsel,Paula  Keough,PKeough@national-amusements.com,Exec VP,Tad  Jankowski,TJankowski@national-amusements.com,Sr VP-Ops,John Bilsborough,JBilsborough@national-amusements.com,Sr VP-Food & Beverage,William  LeClair,WLeClair@national-amusements.com,Sr VP-Film,George Levitt,GLevitt@national-amusements.com,Sr VP-Fin & Admin,Richard Sherman,RSherman@national-amusements.com,Sr VP-Ops,Duncan  Short,DShort@national-amusements.com,Sr VP-Intl Film,Mark  Walukevich,mwalukevich@national-amusements.com,"National Amusements, Inc. is headquartered in Norwood, MA. It owns and operates cinemas and multiplexes. The amenities in its cinemas and multiplexes include restaurants, cocktail lounges, food courts, and concession stands. It also provides theater rentals for meetings, sales conferences, product launches, and private events. The company also operates in Rhode Island, New Jersey, Ohio, and Connecticut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Realty & Development Corp.,3 Manhattanville Rd Ste 202,Purchase,NY,10577-2117,(914) 694-4444,(800) 932-7368,(914) 694-5448,nationalrealty@nrdc.com,www.nrdc.com,National Realty & Development Corp.,Purchase,NY,,,Robert C. Baker,robert.baker@nrdc.com,Pres,John G. Orrico,john.orrico@nrdc.com,CFO & Exec VP,John L. Scala,john.scala@nrdc.com,Gen Counsel & Exec VP,Richard A. Kaufman,richard.kaufman@nrdc.com,Exec VP-Dev & Acq,Jerrold G. Bermingham,jerry.bermingham@nrdc.com,Exec VP-Property Ops,Noel T. Mannion,noel.mannion@nrdc.com,Exec VP-Real Estate,Brian F. Sekel,brian.sekel@nrdc.com,Sr VP-Leasing,Dovid M. Spector,dovid.spector@nrdc.com,VP-Leasing,Nick  Hrvatin,,Controller,Robert Scuderi,robert.scuderi@nrdc.com,"National Realty & Development Corp. is headquartered in Purchase, NY. It is a commercial real estate company. The company provides development and re-development, leasing and marketing, property management, construction management, and accounting services. It invests and develops shopping centers, land sites, retail centers, and corporate and industrial business parks. The company owns properties in Maryland, New York, California, Virginia, and Ohio.",1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Vision Holdings, Inc.",2435 Commerce Ave Bldg 2200,Duluth,GA,30096,(770) 822-3600,(800) 637-3597,,nve@nationalvision.com,www.nationalvision.com,"National Vision Holdings, Inc.",Duluth,GA,,,Nathaniel H. Taylor,,CEO,L. Reade Fahs,,CFO & Sr VP,Patrick R. Moore,,CIO & Sr VP,John  Vaught,,CMO,Joan  Blackwood,,Chief People Officer & Sr VP,Bill  Clark,,Chief Medical Officer & Sr VP,Alex  Louw,,Chief Acctg Officer & Sr VP,Melissa  Rasmussen,,Chief Philanthropic & Managed Care Dev Officer & Sr VP,Robert W. Stein,,Pres/CEO-FirstSight Vision Svcs,Priti  Patel,,"Founded in 2014 and headquartered in Duluth, GA, National Vision Holdings, Inc. (NASDAQ: EYE) is a holding company. The company, through its subsidiaries, operates as an optical retailer in the US. It operates in two segments including owned & host and legacy. The company's owned and host segment offers low-cost vision care products and related services to the American military service members. Its legacy segment involves in the sales of eyewear, contact lenses, and related accessories for retail customers. The company operates a portfolio of 1,082 retail stores representing five brands and 19 consumer websites. According to the company's current 10K government filing, it had FYE 12/29/2018 revenue of $1.5 billion and has 10,668 employees.",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natixis Real Estate Capital Inc.,1251 Avenue of the Americas,New York,NY,10020,(212) 891-5700,,(212) 891-5777,realestate@cm.natixis.com,www.re.natixis.com,Groupe BPCE,Paris,,Natixis Capital Markets Inc.,Subsidiary,Greg Murphy,greg.murphy@cm.natixis.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naumes Inc.,2 Barnett Rd,Medford,OR,97501-3666,(541) 772-6268,,(541) 772-2135,,www.naumesinc.com,Naumes Inc.,Medford,OR,,,Michael D. Naumes,,CFO & Controller,Annie  Eadie,aeadie@naumes.com,Gen Counsel & Mgr-Real Estate,Robert  Boggess,,,,,,,,,,,,,,,,,,,,,,,"Established in 1946, Naumes, Inc. is based in Medford, OR. It is involved in the sale of used farm and agricultural equipment. The company is also engaged in the marketing and sales of cherries, pears, apples, and specialty fruits. Its services include packing and distribution. The company operates in Washington and California.",1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nearon Enterprises - Property Management Division,PO Box 550,Danville,CA,94526-3881,(925) 208-8080,,(925) 208-8081,,www.nearon.com,Nearon Enterprises,Walnut Creek,CA,Nearon Enterprises,Division,Gail  Burke,gburke@nearon.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neighborhood Assistance Corporation of America,225 Centre St,Boston,MA,2119,(617) 250-6244,(888) 302-6222,(877) 329-6222,services@naca.com,www.naca.com,,,,,,Detria Austin,,Gen Counsel,George Weber,,VP-Real Estate,Martin White,,VP-Real Estate,Kent Whitney,,,,,,,,,,,,,,,,,,,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neiman Marcus Group, Inc.",One Neiman Marcus Sq 1618 Main St,Dallas,TX,75201,(214) 743-7600,,,,www.neimanmarcus.com,Canada Pension Plan Investment Board,Toronto,,Canada Pension Plan Investment Board,Joint Venture,David B. Kaplan,,Pres & Chief Mdsg Officer,Lana  Todorovich,,Grp CEO,Geoffroy  van Raemdonck,,CIO & Sr VP,Sarah W. Miller,,Chief Acctg Officer & Sr VP,T. Dale Stapleton,,Chief HR Officer & Sr VP,Joseph N. Weber,,Chief Transformation Officer,Katie  Mullen,,Gen Counsel & Sr VP,Tracy M. Preston,,Exec VP-Stores & Retail Experience,David  Goubert,,Sr VP-Last Call,Liz  Allison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada HAND,295 E Warm Springs Rd Ste 101,Las Vegas,NV,89119,(702) 739-3345,(800) 326-6868,(702) 739-3305,,www.nevadahand.org,,,,,,Michael Mullin,,Chm,Bruce McAnnany,,Vice Chm,Douglas Bell,,CFO & COO,Margaret Freman,,Treas,"Samuel A. Culotta, Jr.",,Sec,Eloiza Martinez,,Exec VP-Real Estate Dev,Michael  Shohet,,VP-HR,Karen Whiteley,,Dir-IT,Julie Chang,,Dir-Real Estate Dev,David Paull,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
